created_by,name,tourism,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,brand,contact:facebook,email,fax,internet_access,operator,phone,rooms,smoking,stars,website,wheelchair,wikidata,brand:wikidata,brand:wikipedia,fhrs:id,internet_access:fee,internet_access:operator,internet_access:ssid,name:zh,source,source:addr,amenity,addr:country,contact:twitter,payment:american_express,addr:housename,fhrs:local_authority_id,fhrs:confidence_management,fhrs:hygiene,fhrs:rating,fhrs:structural,source:postcode,check_date,old_name,fhrs:authority,contact:email,contact:fax,contact:phone,contact:website,name:full,addr:place,addr:interpolation,toilets:wheelchair,contact:instagram,contact:linkedin,air_conditioning,postal_code,entrance,cuisine,restaurant,payment:lightning,fhrs:note,name:ja,addr:suburb,alt_name,url,building,start_date,fixme,opening_hours,name:botanical,note,name:en,access,description,historic,level,loc_name,addr:floor,branch,wheelchair:description,not:addr:postcode,material,wikipedia,operator:wikidata,contact:pinterest,ref,pets_allowed,official_name,source:addr:postcode,fhrs:name,dog,old_fhrs:id,toilets,checkfirst:suggested:name,payment:credit_cards,payment:diners_club,payment:discover_card,payment:mastercard,payment:visa,source:name,parking,bar,addr:county,survey:date,note:addr:postcode,nodes,building:levels,building:levels:underground,architect,owner,atm,building:material,roof:levels,building:colour,roof:colour,roof:material,roof:shape,name:ko,building:min_level,contact:youtube,building:use,reservation,name:es,layer,levels,name:fa,addr:hamlet,old_name:1906-2013,name:pl,source:building,fhrs:inspectiondate,contact:google_plus,check_date:internet_access,designation,stairs,payment:cash,old_operator,short_name,twitter,addr:unit,source:building:levels,source:addr:housenumber,source:operator,building:architecture,building:cladding,image,dontimport:fhrs:addrline3,name:el,accommodation,food,outdoor_seating,listed_status,ref:GB:uprn,hotel,landuse,was:amenity,payment:cheque,payment:maestro,payment:visa_electron,brewery,opening_hours:kitchen,source:rooms,roof:orientation,wheelchair:description:en,opening_date,breakfast,toilets:access,building:part,facebook,instagram,guest_house,payment:contactless,construction,not:brand:wikidata,swimming_pool,beer_garden,height,ways,type,contact:vk,building:start_date
,The Gayton Hotel,hotel,"POLYGON ((-0.3268783 51.5806539, -0.3270358 51.5807804, -0.3271541 51.5807236, -0.3269967 51.580597, -0.3268783 51.5806539))",Harrow,49,HA1 2LT,Gayton Road,,,,,wlan,,,,,,,,,,,276237,,,,,survey;Bing 2012,FHRS Open Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-25,,"[3545248391, 3545252393, 3545248392, 3545248390, 3545248391]",2,,,,,,1,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ham Yard Hotel,hotel,"POLYGON ((-0.1345422 51.5108137, -0.1345519 51.5109061, -0.1345586 51.5109692, -0.1346579 51.5110344, -0.1346899 51.5110582, -0.1344806 51.5111697, -0.1344156 51.5112043, -0.1344822 51.5112608, -0.1347869 51.5111048, -0.1347611 51.510969, -0.134966 51.5109516, -0.1349909 51.5110687, -0.1350303 51.5110926, -0.1343946 51.5114012, -0.1345581 51.5115275, -0.1346475 51.5114841, -0.1346736 51.5114715, -0.134717 51.511506, -0.1353251 51.5112107, -0.1350982 51.5110523, -0.1350493 51.5107788, -0.1345422 51.5108137))",,1,,Ham Yard,,,,,wlan,,,115,,5,https://www.firmdalehotels.com/hotels/london/ham-yard-hotel/,,Q42029969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3004616696, 5500128199, 3004616699, 5500120968, 5497876029, 5500120966, 5497876031, 5497876032, 5497876033, 5497876034, 5497876035, 5497876038, 5497876039, 5497876036, 5497876041, 2699786788, 5497876040, 5497876030, 5497876037, 5497876028, 5497876027, 3004616696]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Piccadilly London West End Hotel,hotel,"POLYGON ((-0.1319953 51.5120854, -0.1320986 51.5121881, -0.1320451 51.5122097, -0.1320006 51.5122276, -0.1319439 51.5122505, -0.1318082 51.5123051, -0.1317098 51.5123446, -0.1316849 51.5123189, -0.1316182 51.5122503, -0.1316203 51.5122453, -0.1316228 51.5122389, -0.1317864 51.5121715, -0.131814 51.5121601, -0.1318417 51.5121487, -0.1318955 51.5121265, -0.1319409 51.5121078, -0.1319799 51.5120917, -0.1319953 51.5120854))",,65-73,,Shaftesbury Avenue,,,,,,,,67,,4,https://www.thepiccadillywestend.co.uk/,,Q111368901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3558229421, 3558229424, 9178895513, 9178895515, 9178895516, 2273728579, 497149976, 9178895519, 3558229422, 639128481, 497149974, 9178895521, 9178895517, 5453816748, 9178895514, 9178895512, 5463483501, 3558229421]",5,,,,,brick,1,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Durrants,hotel,"POLYGON ((-0.1528601 51.5179602, -0.1529375 51.5179494, -0.1529327 51.5179369, -0.1529675 51.5179302, -0.1530103 51.5179228, -0.1530171 51.5179358, -0.153312 51.5178868, -0.1533373 51.5178831, -0.1533614 51.5178786, -0.1535132 51.5178522, -0.1536153 51.5180762, -0.1536206 51.5180887, -0.1536266 51.5181027, -0.1535003 51.5181242, -0.1534931 51.5181099, -0.1534833 51.5180904, -0.1533784 51.5181089, -0.1533515 51.5180416, -0.1529357 51.5181134, -0.1528978 51.5180413, -0.1528601 51.5179602))",London,26-32,,George Street,,,,,,,,,,,,,Q5316731,,,411456,,,,,,FSA Food Hygiene Ratings Database,,,,,,00433/0026/0/001,5,10,4,5,FSA Food Hygiene Ratings Database,,,,,,,,,,,,,,,W1H 5BJ,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3560740917, 3561854971, 3561854970, 3561854969, 3561854968, 3560740913, 3561854967, 3561854966, 3561854965, 3560740902, 3561854980, 6313634644, 3560740941, 3560740948, 6313634645, 3560740939, 3560740942, 3560740930, 3560740944, 3560740928, 3560740917]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Three Falcons,hotel,"POLYGON ((-0.1747705 51.5241227, -0.1746587 51.5242097, -0.174537 51.524158, -0.1745741 51.5241255, -0.1745601 51.5241193, -0.1746173 51.5240692, -0.1746338 51.5240765, -0.1746446 51.524067, -0.1747705 51.5241227))",,1,NW8 8NG,Orchardson Street,,,,,,,,10,,4,https://threefalcons.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3583519811, 3583519813, 3583519812, 6501668522, 6501668525, 6501668524, 6501668523, 3583519807, 3583519811]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notting Hill Hotel,hotel,"POLYGON ((-0.197224 51.5113465, -0.1970773 51.5112841, -0.1971725 51.5111973, -0.1972813 51.5112435, -0.1972779 51.5112465, -0.1972438 51.5112776, -0.1972818 51.5112938, -0.197224 51.5113465))",,2,,Pembridge Square,,,,,,,+44 20 7727 1316,,,,https://www.nottinghillhotel.com/en-gb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3621014688, 3621014686, 3621014667, 3621014681, 7126653117, 7126653116, 7126653114, 3621014688]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Portobello Road Hotel,hotel,"POLYGON ((-0.1980647 51.5110822, -0.1980951 51.5110759, -0.1981232 51.5110726, -0.1981477 51.5110741, -0.1981453 51.5111808, -0.1980962 51.5111828, -0.1980923 51.5111479, -0.1980647 51.5110822))",,6,,Portobello Road,,,,,,,,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[731088039, 7140687257, 3621726581, 731088431, 3621733143, 3621733147, 3621733121, 731088039]",3,,,,,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point A Hotel London Canary Wharf,hotel,"POLYGON ((-0.0256557 51.5071971, -0.0253042 51.5071576, -0.025356 51.5069791, -0.0257075 51.5070186, -0.0256557 51.5071971))",London,21,E14 4BF,Hertsmere Road West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3637295222, 3637295223, 3637295224, 3637295225, 3637295222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Novotel London Canary Wharf,hotel,"POLYGON ((-0.0235517 51.5012763, -0.0234968 51.5012645, -0.0234938 51.5012875, -0.0234791 51.5013109, -0.0234523 51.5013317, -0.0232524 51.5012441, -0.0232566 51.50122, -0.023071 51.501187, -0.0231112 51.5010647, -0.0232177 51.5010689, -0.0234806 51.5010864, -0.0235007 51.5011198, -0.0236107 51.5011427, -0.0235517 51.5012763))",London,40,E14 9TP,Marsh Wall,Novotel,,,,,,,,,,,,Q28404263,Q420545,en:Novotel,947323,,,,,,,,,,,,197139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,en:40 Marsh Wall,,,,,,FHRS Open Data,Novotel Hotel Restaurant,,,,,,,,,,,,,,,,"[3698188588, 3698188597, 3698188599, 3698188600, 3698188596, 3698188598, 3698188595, 3698188589, 3698188590, 3698188592, 3698188593, 3698188594, 3698188591, 3698188588]",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DoubleTree by Hilton Hotel London - Victoria,hotel,"POLYGON ((-0.1436857 51.4937486, -0.1436941 51.4937783, -0.1436603 51.493801, -0.1432744 51.4940095, -0.1431455 51.494081, -0.1430728 51.4940339, -0.1430356 51.4940437, -0.1429768 51.4939986, -0.1432946 51.4938361, -0.1432542 51.4938008, -0.1434272 51.4937145, -0.1434821 51.4937547, -0.1435976 51.4936962, -0.1436857 51.4937486))",,2,SW1V 1QA,Bridge Place,DoubleTree,https://www.facebook.com/Doubletree-By-Hilton-London-Victoria-1400063690234472/,reservations@dtlondonvictoria.com,+44 20 7828 1099,wlan,Hilton,+44 20 7834 8123,232,no,4,https://www.hilton.com/en/hotels/lonvcdi-doubletree-london-victoria/?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6LONVCDI,yes,Q63608863,Q2504643,en:DoubleTree,427905,,,,,,,,,https://twitter.com/dtVIChotel,,,,,,,,,,,,,,,,,,,,https://www.instagram.com/dtlondonvictoria,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,DoubleTree by Hilton,,,,,,,,,,,,,,,,,,"[3703392418, 3703392421, 3703392423, 3703393026, 3703393029, 3703393027, 3703393028, 3703393025, 3703392424, 3703392422, 3703392415, 3703392420, 3703392412, 3703392418]",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DoubleTree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maitrise Hotel,hotel,"POLYGON ((-0.1712619 51.5212469, -0.1711658 51.5211727, -0.1713503 51.5210797, -0.1714498 51.5211555, -0.1712619 51.5212469))",London,346-348,W2 1EA,Edgware Road,,,,,wlan,,,24,,4,https://www.maitrisehoteledgwareroad.co.uk/,,,,,,no,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2918648598, 3710469921, 3710469918, 6470500737, 2918648598]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conrad London St. James,hotel,"POLYGON ((-0.1320187 51.4996319, -0.1319975 51.4996142, -0.1320106 51.4994554, -0.1320462 51.4990258, -0.1321907 51.4990526, -0.1324608 51.499098, -0.1324555 51.4991472, -0.1325587 51.4991522, -0.1325627 51.4991222, -0.1327652 51.4991576, -0.1327519 51.4993299, -0.1327787 51.4993386, -0.1329115 51.4992499, -0.1330722 51.4993195, -0.1330405 51.4993441, -0.1328484 51.4994929, -0.1328097 51.4995153, -0.1327812 51.4995318, -0.1326274 51.4994659, -0.1325602 51.4994871, -0.1323618 51.4994738, -0.1323518 51.499514, -0.1323488 51.4995314, -0.1323522 51.4996319, -0.132198 51.4996319, -0.1320187 51.4996319))",London,22-28,SW1H 0BH,Broadway,Conrad,https://www.facebook.com/ConradLondonSJ,reservations@conradstjames.com,+44 20 3301 1380,wlan,Hilton,+44 20 3301 8080,256,no,5,https://www.hilton.com/en/hotels/loncoci-conrad-london-st-james/,limited,Q16994989,Q855525,en:Conrad Hotels,699193,,,,,,,,GB,https://twitter.com/ConradLondonSJ,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,en:Conrad London St. James,,,,,,,,,,,,,yes,,yes,yes,,,,,,,"[3712041532, 6317280293, 2414012819, 3712041533, 3712041553, 3712041534, 3712041535, 3712041536, 3712041537, 3712041538, 5266874322, 5266874321, 3712041539, 3712041545, 5266874221, 3712041546, 5266873716, 5144974325, 5144974324, 5144974323, 5144934672, 5144934676, 5144934673, 5144934674, 6317280178, 3712041532]",6,,,,,brick,1,,darkgrey,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
,hub by Premier Inn,hotel,"POLYGON ((-0.1323787 51.4989002, -0.1323539 51.4990149, -0.1323415 51.4990395, -0.1324085 51.4990495, -0.1324085 51.4990654, -0.1326271 51.4990996, -0.1326271 51.499108, -0.132784 51.4991322, -0.1327886 51.4991244, -0.1328482 51.4989687, -0.1323787 51.4989002))",London,15,SW1H 0DJ,Dacre Street,Premier Inn,,,,wlan,,,,,,,,,Q2108626,en:Premier Inn,915576,customers,Virgin Media,Premier Inn Free Wi-Fi,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3712041550, 3712041551, 3712041554, 3712041555, 3712041556, 3712041557, 3712041558, 3712041559, 3712041562, 3712041560, 3712041550]",5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Hayden Pub & Rooms,hotel,"POLYGON ((-0.1915327 51.5153675, -0.1913156 51.5153931, -0.1912976 51.5153371, -0.1913817 51.5153267, -0.1913559 51.5152397, -0.1913874 51.5152359, -0.1914887 51.5152234, -0.1915154 51.5153108, -0.1915327 51.5153675))",London,65,W2 4UJ,Westbourne Grove,,,,,,,+44 20 7229 2233,8,,,https://www.haydennottinghill.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3722172837, 3722172839, 7099537760, 7099537761, 7099537762, 7101381410, 3722172838, 7099537763, 3722172837]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hotel Strand Continental,hotel,"POLYGON ((-0.1183562 51.511501, -0.1184267 51.5114791, -0.1184216 51.5114728, -0.1184991 51.5114491, -0.1184849 51.5114348, -0.1184119 51.5113536, -0.1183811 51.5113193, -0.1183168 51.5113423, -0.1182444 51.5113633, -0.1183533 51.5114973, -0.1183562 51.511501))",London,143-145,,Strand,,,,,,,,,,,https://www.strand-continental.co.uk/,no,,,,414196,,,,,Bing;photographic_survey,FSA Food Hygiene Ratings Database,,,,,,01576/0147/0/002,5,10,3,10,,,,,,,,,,,,,,,,WC2R 1JA,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3764018725, 3764018723, 3764018722, 3764018721, 1616162968, 1616162940, 3764018719, 3763994487, 3764018720, 3764018724, 3764018725]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DoubleTree by Hilton Hotel London Heathrow Airport,hotel,"POLYGON ((-0.4115401 51.4804241, -0.4117266 51.4801092, -0.4112067 51.479979, -0.4109314 51.47991, -0.4109329 51.4799055, -0.4109295 51.4798968, -0.4109205 51.4798915, -0.4109078 51.4798898, -0.4108969 51.4798919, -0.4108903 51.4798957, -0.4108858 51.4799027, -0.4108894 51.4799069, -0.41077 51.4799587, -0.4107654 51.479955, -0.410756 51.4799554, -0.4107466 51.4799588, -0.4107418 51.4799633, -0.4107417 51.4799731, -0.410746 51.4799774, -0.4107533 51.4799806, -0.4107624 51.4799809, -0.4107612 51.4801799, -0.410895 51.4801797, -0.4109028 51.480271, -0.4115401 51.4804241))",Hounslow,745,TW5 9QE,Bath Road,DoubleTree by Hilton,https://www.facebook.com/doubletreebyhiltonlondonheathrow,lhrcl.hotel@hilton.com,+44 20 8897 7014,yes,Hilton,+44 20 8564 4450,200,no,4,https://www.hilton.com/en/hotels/lhrcldi-doubletree-london-heathrow-airport/,,Q30021879,,,,no,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,https://www.instagram.com/doubletreehiltonlondonheathrow,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3772031600, 3772031588, 3779184553, 3772031578, 3772031576, 3772031574, 3772031571, 3772031570, 3772031572, 3772031573, 3772031575, 3772031577, 3772031581, 3772031579, 3772031580, 3772031582, 3772031583, 3772031584, 3772031585, 3772031586, 3772031587, 3772031592, 3772031591, 3772031593, 3772031600]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ibis budget London Heathrow Central,hotel,"POLYGON ((-0.4088782 51.478908, -0.408964 51.4787795, -0.409001 51.478724, -0.4090387 51.4786676, -0.4090557 51.4786422, -0.4091154 51.4785528, -0.409312 51.4786037, -0.4092445 51.4787177, -0.4097553 51.4788587, -0.4097663 51.4786608, -0.4099552 51.4786608, -0.4099454 51.4790511, -0.4098999 51.4790511, -0.40981 51.4791946, -0.4097156 51.4791674, -0.4097185 51.479133, -0.4097311 51.4789878, -0.4091727 51.4788391, -0.4090982 51.478965, -0.4088782 51.478908))",Hounslow,700,TW5 9TW,Bath Road,,,,,,Accor,,,,,,,,,,,,,,,website,,,GB,,,Hertz House,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cranford,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3772031561, 3772029854, 3779184547, 3772029847, 3772029841, 3772029832, 3772029835, 3772029850, 3772031560, 3772029845, 3772029846, 3772031566, 3772031564, 3772031569, 3772031568, 3772031567, 3772031563, 3772031559, 3772031562, 3772031561]",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Barn Hotel,hotel,"POLYGON ((-0.4222523 51.5701579, -0.4222303 51.5703622, -0.4221202 51.5703576, -0.4221215 51.5703455, -0.4220137 51.570341, -0.422003 51.570441, -0.421819 51.5704334, -0.4218261 51.5703672, -0.4217503 51.570364, -0.421775 51.5701344, -0.4218848 51.570139, -0.4218817 51.5701682, -0.4219234 51.5701699, -0.4219225 51.5701784, -0.4221581 51.5701882, -0.4221618 51.5701541, -0.4222523 51.5701579))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3775298764, 3775298783, 3775298782, 3775298779, 3775298778, 3775298791, 3775298790, 3775298785, 3775298784, 3775298761, 3775298762, 3775298765, 3775298766, 3775298768, 3775298770, 3775298763, 3775298764]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Dog and Fox,hotel,"POLYGON ((-0.2178568 51.425312, -0.2174637 51.4252299, -0.217489 51.4251829, -0.2175837 51.4250068, -0.2179768 51.425089, -0.2178568 51.425312))",London,24,SW19 5EA,High Street,,,,,,Young & Co,,17,,,,,,,,934365,,,,,,,pub,GB,,,,,,,,,,,,,,,,http://www.dogandfoxwimbledon.co.uk/,,,,,,,,,,,,,,,,,,yes,,,Mo-Sa 08:00-23:00; Su 12:00-23:00,,,,,,,,,,,,,,,Q8057802,,,,,,,,,,,,,,,,,,,,,,"[39767022, 3833185824, 3780695875, 3780695870, 3833185818, 39767022]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,Charles Wells,"Mo-Sa 08:00-11:00,11:30-22:00; Su 12:00-22:00",website,,,,,,,,,,,,,,,,,,,
,Palm Hotel,hotel,"POLYGON ((-0.2040123 51.5632415, -0.2043057 51.5631644, -0.2043869 51.5631431, -0.204532 51.5634138, -0.2045661 51.5634773, -0.2046951 51.5637177, -0.2046114 51.5637413, -0.2044038 51.5637998, -0.204035 51.5639037, -0.2038928 51.5636359, -0.2040119 51.5635979, -0.2042089 51.5635349, -0.2040123 51.5632415))",,,,,Best Western,,,,,,,,,,www.palmhoteluk.com,,,Q830334,en:Best Western,,,,,,survey;Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3838021563, 3838021564, 769140145, 3838021557, 3838021565, 3838021559, 3838021571, 3838021570, 3838021560, 623044934, 3838021567, 3838021566, 3838021563]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercure Hotel Heathrow,hotel,"POLYGON ((-0.430419 51.4943292, -0.4306706 51.4943932, -0.4305375 51.494596, -0.4304717 51.4945793, -0.4304487 51.4946143, -0.4305196 51.4946324, -0.4304953 51.4946694, -0.4304225 51.4946509, -0.4304071 51.4946745, -0.4298897 51.4945431, -0.4299361 51.4944723, -0.4301073 51.4945158, -0.4301179 51.4944995, -0.430283 51.4945415, -0.430314 51.4944943, -0.4297727 51.4943567, -0.4298435 51.4942488, -0.4301538 51.4943277, -0.4302391 51.4941977, -0.4301146 51.494166, -0.4301973 51.49404, -0.4308926 51.4942169, -0.4308042 51.4943516, -0.4304615 51.4942644, -0.430419 51.4943292))",,,,,,,,,,Crimson Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3864902767, 3864902768, 3864902769, 3864902799, 3864902798, 3864902797, 3864902770, 3864902796, 3864902771, 3864902772, 3864902773, 3864902774, 3864902775, 3864902776, 3864902777, 3864902778, 3864902779, 3864902780, 3864902781, 3864902782, 3864902783, 3864902784, 3864902785, 3864902786, 3864902767]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Lodge Park,hotel,"POLYGON ((-0.156914 51.6701268, -0.1569951 51.6699289, -0.1570244 51.6699335, -0.1570725 51.6698161, -0.1570594 51.669814, -0.1570814 51.6697602, -0.1571111 51.6696875, -0.1573827 51.6697302, -0.157379 51.6697392, -0.1574432 51.6697493, -0.1574512 51.6697575, -0.1574491 51.6697666, -0.1574428 51.6697767, -0.1574286 51.6697811, -0.1574153 51.6697826, -0.1574021 51.6698141, -0.1574164 51.6698189, -0.1574228 51.6698256, -0.1574231 51.6698351, -0.1574151 51.6698448, -0.1574044 51.6698494, -0.1573858 51.6698499, -0.157338 51.6698424, -0.1573331 51.6698541, -0.1572004 51.6698331, -0.1571708 51.669905, -0.1572127 51.6699117, -0.1572291 51.6698718, -0.1575448 51.6699217, -0.157534 51.6699481, -0.1576975 51.6699739, -0.1576571 51.6700722, -0.1572818 51.6700129, -0.1572478 51.6700955, -0.1571675 51.6700828, -0.157155 51.6701134, -0.1571079 51.670106, -0.1570881 51.6701543, -0.156914 51.6701268))",,,,,,,,,,,+44 20 8216 3900,,,,https://www.westlodgepark.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[305075319, 9156335329, 9156335328, 9156335331, 9156335330, 9156335361, 3891059656, 3891060879, 9156335342, 9156335348, 9156335349, 9156335345, 9156335350, 9156335351, 9156335346, 9156335347, 9156335353, 9156335352, 9156335344, 9156335355, 9156335356, 9156335354, 9156335343, 9156335338, 9156335339, 9156335340, 9156335341, 3891060943, 9156335337, 9156335336, 3891060885, 3891061067, 3891059653, 3891060878, 9156335333, 9156335334, 9156335335, 9156335332, 305075319]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clayton Hotel,hotel,"POLYGON ((-0.0708686 51.5149932, -0.0709005 51.5147236, -0.0705033 51.5147056, -0.0704714 51.5149719, -0.0708686 51.5149932))",London,10,E1 7AT,New Drum Street,,,,,,,,,,,https://www.claytonhotelcityoflondon.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3932053998, 3932053999, 3932054000, 3932054001, 3932053998]",11,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
